entity,url,accessible,content_valid,content_length,has_error_indicator,status_code,status_name,cloudflare_protected,error,redirect_url,column
1518 Committee,https://main.un.org/securitycouncil/en/sanctions/1518,True,True,194853.0,False,200.0,OK,False,,,entity_link
1533 Committee,https://main.un.org/securitycouncil/en/sanctions/1533,True,True,210642.0,False,200.0,OK,False,,,entity_link
1591 Committee,https://main.un.org/securitycouncil/en/sanctions/1591,True,True,195363.0,False,200.0,OK,False,,,entity_link
1636 Committee,https://main.un.org/securitycouncil/en/sanctions/1636,True,True,186733.0,False,200.0,OK,False,,,entity_link
1718 Committee,https://main.un.org/securitycouncil/en/sanctions/1718,True,True,221399.0,False,200.0,OK,False,,,entity_link
1737 Committee,https://main.un.org/securitycouncil/en/sanctions/1737,True,True,242474.0,False,200.0,OK,False,,,entity_link
1970 Committee,https://main.un.org/securitycouncil/en/sanctions/1970,True,True,214079.0,False,200.0,OK,False,,,entity_link
1988 Committee,https://main.un.org/securitycouncil/en/sanctions/1988,True,True,196084.0,False,200.0,OK,False,,,entity_link
2048 Committee,https://main.un.org/securitycouncil/en/sanctions/2048,True,True,188876.0,False,200.0,OK,False,,,entity_link
2140 Committee,https://main.un.org/securitycouncil/en/sanctions/2140,True,True,194935.0,False,200.0,OK,False,,,entity_link
2206 Committee,https://main.un.org/securitycouncil/en/sanctions/2206,True,True,198445.0,False,200.0,OK,False,,,entity_link
2253 Committee,https://main.un.org/securitycouncil/en/sanctions/1267/monitoring-team/work-and-mandate,True,True,196523.0,False,200.0,OK,False,,,entity_link
2253 Ombudsperson,https://main.un.org/securitycouncil/en/ombudsperson,True,True,187546.0,False,200.0,OK,False,,,entity_link
2653 Committee,https://main.un.org/securitycouncil/en/sanctions/2653,True,True,196316.0,False,200.0,OK,False,,,entity_link
2745 Committee,https://main.un.org/securitycouncil/en/sanctions/2745,True,True,203778.0,False,200.0,OK,False,,,entity_link
ABDM,https://disarmament.unoda.org/en/our-work/disarmament-bodies/advisory-board-disarmament-matters,True,True,136048.0,False,200.0,OK,False,,,entity_link
ASMT,https://main.un.org/securitycouncil/en/sanctions/1267/monitoring-team/work-and-mandate,True,True,196523.0,False,200.0,OK,False,,,entity_link
Ad Hoc Bodies,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
Al-Shabaab Committee,https://main.un.org/securitycouncil/en/sanctions/2713,True,True,226054.0,False,200.0,OK,False,,,entity_link
BINUH,https://binuh.unmissions.org/,True,True,216137.0,False,200.0,OK,False,,,entity_link
Board of Auditors,https://www.un.org/en/auditors/board/,True,True,16106.0,False,200.0,OK,False,,,entity_link
Boards,,False,False,,,,,False,Invalid or placeholder URL,,entity_link
CCPCJ,https://www.unodc.org/unodc/commissions/CCPCJ/index.html,True,True,29520.0,False,200.0,OK,False,,,entity_link
CDP,https://policy.desa.un.org/our-work/committee-for-development-policy,True,True,93194.0,False,200.0,OK,False,,,entity_link
CEB,https://unsceb.org/,True,True,38235.0,False,200.0,OK,False,,,entity_link
CEPA,https://publicadministration.desa.un.org/intergovernmental-support/cepa,True,True,75182.0,False,200.0,OK,False,,,entity_link
CND,https://www.unodc.org/unodc/commissions/CND/,True,True,30855.0,False,200.0,OK,False,,,entity_link
CNMC,https://unowas.unmissions.org/cameroon-nigeria-mixed-commission,True,True,212740.0,False,200.0,OK,False,,,entity_link
CPD,https://www.un.org/development/desa/pd/content/CPD,True,True,41310.0,False,200.0,OK,False,,,entity_link
CSTD,https://unctad.org/topic/commission-on-science-and-technology-for-development,True,True,19258.0,False,200.0,OK,False,,,entity_link
CSW,https://www.unwomen.org/en/how-we-work/commission-on-the-status-of-women,True,True,118868.0,False,200.0,OK,False,,,entity_link
CSocD,https://social.desa.un.org/csocd,True,True,81651.0,False,200.0,OK,False,,,entity_link
CTBTO,https://www.ctbto.org/,True,True,17796.0,False,200.0,OK,False,,,entity_link
CTC,https://www.un.org/securitycouncil/ctc/,True,True,100906.0,False,200.0,OK,False,,,entity_link
